Publication|Gene_name|Gene_ID|Pub_number
Efimenko et al.|CRAT|CRAT|2
Efimenko et al.|DACH2|DACH2|2
Efimenko et al.|MAPK10|MAPK10|2
Efimenko et al.|PLA2G12A|PLA2G12A|2
Efimenko et al.|ERMP1|ERMP1|2
Efimenko et al.|LUC7L|LUC7L|2
Efimenko et al.|MPPE1|MPPE1|2
Efimenko et al.|DMRTA1|DMRTA1|2
Efimenko et al.|CES3|CES3|2
Efimenko et al.|LPGAT1|LPGAT1|2
Efimenko et al.|LOC100505841|LOC100505841|2
Efimenko et al.|FMO4|FMO4|2
Efimenko et al.|ST8SIA1|ST8SIA1|2
Efimenko et al.|ANKRD36B|ANKRD36B|2
Efimenko et al.|GSTO1|GSTO1|2
Efimenko et al.|SLC38A1|SLC38A1|2
Efimenko et al.|EXOSC7|EXOSC7|2
Efimenko et al.|TRAF3IP1|TRAF3IP1|2
Efimenko et al.|ADARB1|ADARB1|2
Efimenko et al.|RNGTT|RNGTT|2
Efimenko et al.|RSL24D1|RSL24D1|2
Efimenko et al.|SMARCC2|SMARCC2|2
Efimenko et al.|PDHB|PDHB|2
Efimenko et al.|CLUAP1|CLUAP1|2
Efimenko et al.|TRMT112|TRMT112|2
Efimenko et al.|DUSP7|DUSP7|2
Efimenko et al.|TRMT10B|TRMT10B|2
Efimenko et al.|FKBP15|FKBP15|2
Efimenko et al.|RHD|RHD|2
Efimenko et al.|MC2R|MC2R|2
Efimenko et al.|LACTB|LACTB|2
Efimenko et al.|VRK2|VRK2|2
Efimenko et al.|ZBTB9|ZBTB9|2
Efimenko et al.|DHRS4|DHRS4|2
Efimenko et al.|OR4K5|OR4K5|2
Efimenko et al.|TLK2|TLK2|2
Efimenko et al.|PTPRE|PTPRE|2
Efimenko et al.|DYNLRB2|DYNLRB2|2
Efimenko et al.|LIG4|LIG4|2
Efimenko et al.|BRAP|BRAP|2
Efimenko et al.|PTPRZ1|PTPRZ1|2
Efimenko et al.|RAP1B|RAP1B|2
Efimenko et al.|NPY1R|NPY1R|2
Efimenko et al.|LRBA|LRBA|2
Efimenko et al.|SDR9C7|SDR9C7|2
Efimenko et al.|PEX1|PEX1|2
Efimenko et al.|CNPY4|CNPY4|2
Efimenko et al.|AKT1|AKT1|2
Efimenko et al.|MRPS22|MRPS22|2
Efimenko et al.|HEXDC|HEXDC|2
Efimenko et al.|BNIP3|BNIP3|2
Efimenko et al.|SLC30A1|SLC30A1|2
Efimenko et al.|SMARCA2|SMARCA2|2
Efimenko et al.|SOD1|SOD1|2
Efimenko et al.|PSMA6|PSMA6|2
Efimenko et al.|ATG4A|ATG4A|2
Efimenko et al.|UNC5C|UNC5C|2
Efimenko et al.|C1GALT1|C1GALT1|2
Efimenko et al.|KIAA0930|KIAA0930|2
Efimenko et al.|ACOT8|ACOT8|2
Efimenko et al.|EIF3L|EIF3L|2
Efimenko et al.|PTPN9|PTPN9|2
Efimenko et al.|TTN|TTN|2
Efimenko et al.|SFT2D2|SFT2D2|2
Efimenko et al.|GPR155|GPR155|2
Efimenko et al.|PPP1R27|PPP1R27|2
Efimenko et al.|PTPRG|PTPRG|2
Efimenko et al.|CFAP221|CFAP221|2
Efimenko et al.|PPP1CB|PPP1CB|2
Efimenko et al.|C9orf172|C9orf172|2
Efimenko et al.|KCNQ5|KCNQ5|2
Efimenko et al.|RXRA|RXRA|2
Efimenko et al.|HNF4A|HNF4A|2
Efimenko et al.|SCN8A|SCN8A|2
Efimenko et al.|PBRM1|PBRM1|2
Efimenko et al.|MMAB|MMAB|2
Efimenko et al.|IFT140|IFT140|2
Efimenko et al.|EGR1|EGR1|2
Efimenko et al.|CPS1|CPS1|2
Efimenko et al.|COPS6|COPS6|2
Efimenko et al.|PSAP|PSAP|2
Efimenko et al.|SHARPIN|SHARPIN|2
Efimenko et al.|RANGAP1|RANGAP1|2
Efimenko et al.|RARS2|RARS2|2
Efimenko et al.|SART1|SART1|2
Efimenko et al.|TTC39B|TTC39B|2
Efimenko et al.|PDE4D|PDE4D|2
Efimenko et al.|MANBA|MANBA|2
Efimenko et al.|TTC1|TTC1|2
Efimenko et al.|DNER|DNER|2
Efimenko et al.|BMX|BMX|2
Efimenko et al.|FAM101A|FAM101A|2
Efimenko et al.|ZFP36L1|ZFP36L1|2
Efimenko et al.|DHFR|DHFR|2
Efimenko et al.|NOC3L|NOC3L|2
Efimenko et al.|ARHGAP27|ARHGAP27|2
Efimenko et al.|TLK1|TLK1|2
Efimenko et al.|FAM13A|FAM13A|2
Efimenko et al.|CSRNP2|CSRNP2|2
Efimenko et al.|AVPR1A|AVPR1A|2
Efimenko et al.|PDCD6IP|PDCD6IP|2
Efimenko et al.|SLC22A6|SLC22A6|2
Efimenko et al.|WAPL|WAPL|2
Efimenko et al.|UBR4|UBR4|2
Efimenko et al.|UGT2B7|UGT2B7|2
Efimenko et al.|ABCC11|ABCC11|2
Efimenko et al.|GRIPAP1|GRIPAP1|2
Efimenko et al.|RD3|RD3|2
Efimenko et al.|ABCB1|ABCB1|2
Efimenko et al.|C16orf72|C16orf72|2
Efimenko et al.|SMG1|SMG1|2
Efimenko et al.|BBS9|BBS9|2
Efimenko et al.|CSPG4|CSPG4|2
Efimenko et al.|ASIC4|ASIC4|2
Efimenko et al.|MGAT4B|MGAT4B|2
Efimenko et al.|PDZD8|PDZD8|2
Efimenko et al.|HIC2|HIC2|2
Efimenko et al.|CACNA1H|CACNA1H|2
Efimenko et al.|WDFY4|WDFY4|2
Efimenko et al.|RDH16|RDH16|2
Efimenko et al.|ACADSB|ACADSB|2
Efimenko et al.|NR1H3|NR1H3|2
Efimenko et al.|HSD17B12|HSD17B12|2
Efimenko et al.|USP28|USP28|2
Efimenko et al.|TCTEX1D2|TCTEX1D2|2
Efimenko et al.|CUL1|CUL1|2
Efimenko et al.|CSMD2|CSMD2|2
Efimenko et al.|H3F3B|H3F3B|2
Efimenko et al.|GMIP|GMIP|2
Efimenko et al.|SNPH|SNPH|2
Efimenko et al.|PACRG|PACRG|2
Efimenko et al.|AGBL4|AGBL4|2
Efimenko et al.|KY|KY|2
Efimenko et al.|WDR43|WDR43|2
Efimenko et al.|APEH|APEH|2
Efimenko et al.|RASEF|RASEF|2
Efimenko et al.|DYNC2LI1|DYNC2LI1|2
Efimenko et al.|SAMD9|SAMD9|2
Efimenko et al.|ATG16L1|ATG16L1|2
Efimenko et al.|USP11|USP11|2
Efimenko et al.|GLDN|GLDN|2
Efimenko et al.|NTRK1|NTRK1|2
Efimenko et al.|APOL3|APOL3|2
Efimenko et al.|NDST1|NDST1|2
Efimenko et al.|GPAM|GPAM|2
Efimenko et al.|GOSR1|GOSR1|2
Efimenko et al.|RAD21|RAD21|2
Efimenko et al.|IQGAP2|IQGAP2|2
Efimenko et al.|USP18|USP18|2
Efimenko et al.|HNF4G|HNF4G|2
Efimenko et al.|AHNAK2|AHNAK2|2
Efimenko et al.|POLR2A|POLR2A|2
Efimenko et al.|TUB|TUB|2
Efimenko et al.|DARS2|DARS2|2
Efimenko et al.|PTPRK|PTPRK|2
Efimenko et al.|SZT2|SZT2|2
Efimenko et al.|ZNF483|ZNF483|2
Efimenko et al.|SEC24C|SEC24C|2
Efimenko et al.|BRD2|BRD2|2
Efimenko et al.|EYS|EYS|2
Efimenko et al.|DLEC1|DLEC1|2
Efimenko et al.|ADRA2A|ADRA2A|2
Efimenko et al.|AHCTF1|AHCTF1|2
Efimenko et al.|HPF1|HPF1|2
Efimenko et al.|KCNC1|KCNC1|2
Efimenko et al.|MBOAT7|MBOAT7|2
Efimenko et al.|PLCH2|PLCH2|2
Efimenko et al.|UBQLN1|UBQLN1|2
Efimenko et al.|INPP5F|INPP5F|2
Efimenko et al.|ADCY9|ADCY9|2
Efimenko et al.|CPNE1|CPNE1|2
Efimenko et al.|NEK7|NEK7|2
Efimenko et al.|ARL3|ARL3|2
Efimenko et al.|ARHGEF28|ARHGEF28|2
Efimenko et al.|EML5|EML5|2
Efimenko et al.|PARG|PARG|2
Efimenko et al.|BBS2|BBS2|2
Efimenko et al.|HINT1|HINT1|2
Efimenko et al.|CRISPLD1|CRISPLD1|2
Efimenko et al.|OTUD6B|OTUD6B|2
Efimenko et al.|TMEM245|TMEM245|2
Efimenko et al.|H1F0|H1F0|2
Efimenko et al.|FRRS1|FRRS1|2
Efimenko et al.|KIF11|KIF11|2
Efimenko et al.|DRD1|DRD1|2
Efimenko et al.|ZMYND11|ZMYND11|2
Efimenko et al.|MGLL|MGLL|2
Efimenko et al.|PRPF39|PRPF39|2
Efimenko et al.|F9|F9|2
Efimenko et al.|FHL2|FHL2|2
Efimenko et al.|MRPL54|MRPL54|2
Efimenko et al.|KLHL10|KLHL10|2
Efimenko et al.|RGL1|RGL1|2
Efimenko et al.|TFAP2D|TFAP2D|2
Efimenko et al.|TFAP2C|TFAP2C|2
Efimenko et al.|LRP2|LRP2|2
Efimenko et al.|DDX42|DDX42|2
Efimenko et al.|CYP4V2|CYP4V2|2
Efimenko et al.|KYAT3|KYAT3|2
Efimenko et al.|TMEM145|TMEM145|2
Efimenko et al.|SUPT5H|SUPT5H|2
Efimenko et al.|CCDC88C|CCDC88C|2
Efimenko et al.|STOM|STOM|2
Efimenko et al.|SAFB|SAFB|2
Efimenko et al.|CKB|CKB|2
Efimenko et al.|BEST1|BEST1|2
Efimenko et al.|MALRD1|MALRD1|2
Efimenko et al.|LRP1|LRP1|2
Efimenko et al.|ATRNL1|ATRNL1|2
Efimenko et al.|RFX3|RFX3|2
Efimenko et al.|TMEM246|TMEM246|2
Efimenko et al.|CH25H|CH25H|2
Efimenko et al.|TMEM67|TMEM67|2
Efimenko et al.|SYDE2|SYDE2|2
Efimenko et al.|AGT|AGT|2
Efimenko et al.|MLYCD|MLYCD|2
Efimenko et al.|VAPA|VAPA|2
Efimenko et al.|YPEL2|YPEL2|2
Efimenko et al.|PKD1L3|PKD1L3|2
Efimenko et al.|CLASP2|CLASP2|2
Efimenko et al.|TMTC4|TMTC4|2
Efimenko et al.|OPN4|OPN4|2
Efimenko et al.|CNGA3|CNGA3|2
Efimenko et al.|IFT80|IFT80|2
Efimenko et al.|PEX6|PEX6|2
Efimenko et al.|WDR54|WDR54|2
Efimenko et al.|PHEX|PHEX|2
Efimenko et al.|TOR4A|TOR4A|2
Efimenko et al.|MED6|MED6|2
Efimenko et al.|RPS9|RPS9|2
Efimenko et al.|FAIM2|FAIM2|2
Efimenko et al.|NMU|NMU|2
Efimenko et al.|UBE2K|UBE2K|2
Efimenko et al.|EIF2AK1|EIF2AK1|2
Efimenko et al.|GRIK5|GRIK5|2
Efimenko et al.|UNC13C|UNC13C|2
Efimenko et al.|ANKRD17|ANKRD17|2
Efimenko et al.|TTF2|TTF2|2
Efimenko et al.|LONRF1|LONRF1|2
Efimenko et al.|PIK3AP1|PIK3AP1|2
Efimenko et al.|CHCHD4|CHCHD4|2
Efimenko et al.|TRIM2|TRIM2|2
Efimenko et al.|PATL1|PATL1|2
Efimenko et al.|DYSF|DYSF|2
Efimenko et al.|RSPRY1|RSPRY1|2
Efimenko et al.|PLB1|PLB1|2
Efimenko et al.|NDUFB2|NDUFB2|2
Efimenko et al.|WFIKKN1|WFIKKN1|2
Efimenko et al.|NEDD8|NEDD8|2
Efimenko et al.|CPA5|CPA5|2
Efimenko et al.|PLD4|PLD4|2
Efimenko et al.|PLA2G6|PLA2G6|2
Efimenko et al.|SKP1|SKP1|2
Efimenko et al.|TPSB2|TPSB2|2
Efimenko et al.|ZNF235|ZNF235|2
Efimenko et al.|LARP1B|LARP1B|2
Efimenko et al.|MRC1|MRC1|2
Efimenko et al.|UBE2L5|UBE2L5|2
Efimenko et al.|C3orf67|C3orf67|2
Efimenko et al.|CCDC80|CCDC80|2
Efimenko et al.|POM121|POM121|2
Efimenko et al.|GPAT3|GPAT3|2
Efimenko et al.|CYGB|CYGB|2
Efimenko et al.|GCSH|GCSH|2
Efimenko et al.|NCOR1|NCOR1|2
Efimenko et al.|ALG11|ALG11|2
Efimenko et al.|NUDC|NUDC|2
Efimenko et al.|SHFM1|SHFM1|2
Efimenko et al.|CD151|CD151|2
Efimenko et al.|DECR1|DECR1|2
Efimenko et al.|DCAF7|DCAF7|2
Efimenko et al.|SLC35F2|SLC35F2|2
Efimenko et al.|RUVBL1|RUVBL1|2
Efimenko et al.|COQ3|COQ3|2
Efimenko et al.|KANSL3|KANSL3|2
Efimenko et al.|RCAN1|RCAN1|2
Efimenko et al.|ECE2|ECE2|2
Efimenko et al.|PIP5K1A|PIP5K1A|2
Efimenko et al.|SEC22B|SEC22B|2
Efimenko et al.|ADGRV1|ADGRV1|2
Efimenko et al.|GABRB3|GABRB3|2
Efimenko et al.|MTTP|MTTP|2
Efimenko et al.|SYCP1|SYCP1|2
Efimenko et al.|LDB3|LDB3|2
Efimenko et al.|FBXW11|FBXW11|2
Efimenko et al.|GNAI2|GNAI2|2
Efimenko et al.|ABCB10|ABCB10|2
Efimenko et al.|ABT1|ABT1|2
Efimenko et al.|GLIPR1L1|GLIPR1L1|2
Efimenko et al.|FGFR3|FGFR3|2
Efimenko et al.|GATA4|GATA4|2
Efimenko et al.|IFT57|IFT57|2
Efimenko et al.|AGTR1|AGTR1|2
Efimenko et al.|ORC2|ORC2|2
Efimenko et al.|GRIN1|GRIN1|2
Efimenko et al.|CDK7|CDK7|2
Efimenko et al.|CACNA1B|CACNA1B|2
Efimenko et al.|MARCO|MARCO|2
Efimenko et al.|CHL1|CHL1|2
Efimenko et al.|EOGT|EOGT|2
Efimenko et al.|SGMS2|SGMS2|2
Efimenko et al.|ZSWIM8|ZSWIM8|2
Efimenko et al.|TMEM130|TMEM130|2
Efimenko et al.|SCO1|SCO1|2
Efimenko et al.|GCNT2|GCNT2|2
Efimenko et al.|DDC|DDC|2
Efimenko et al.|MRPL10|MRPL10|2
Efimenko et al.|SLC25A32|SLC25A32|2
Efimenko et al.|MARCH4|MARCH4|2
Efimenko et al.|AXIN2|AXIN2|2
Efimenko et al.|TRAPPC13|TRAPPC13|2
Efimenko et al.|RBM41|RBM41|2
Efimenko et al.|B9D1|B9D1|2
Efimenko et al.|NUGGC|NUGGC|2
Efimenko et al.|LECT2|LECT2|2
Efimenko et al.|NPC1|NPC1|2
Efimenko et al.|DNAJC12|DNAJC12|2
Efimenko et al.|UGT1A5|UGT1A5|2
Efimenko et al.|GAA|GAA|2
Efimenko et al.|RP2|RP2|2
Efimenko et al.|PCDHGA9|PCDHGA9|2
Efimenko et al.|SSR2|SSR2|2
Efimenko et al.|CYP2E1|CYP2E1|2
Efimenko et al.|SLC2A3|SLC2A3|2
Efimenko et al.|MUC5AC|MUC5AC|2
Efimenko et al.|PLAA|PLAA|2
Efimenko et al.|QRICH1|QRICH1|2
Efimenko et al.|SALL2|SALL2|2
