Gene_name	Gene_synonyms
OR7E87P	OR11-9
OR7E87P	OR7E3P
OR7E87P	OR7F3P
OR7E2P	OR11-6
OR7E2P	OR7E143P
OR7E2P	OR7E51P
OR7E2P	OR7E52P
OR7E2P	OR7F2P
OR7E2P	OST245
OR7E2P	hg94
OR7E15P	OR11-392
OR7E15P	OR7E42P
OR7E15P	OR7E80P
OR7E15P	OST001
OR6A2	I7
OR6A2	OR11-55
OR6A2	OR6A1
OR6A2	OR6A2P
OR5G1P	OR11-104
OR5G1P	OR5G2P
OR5G1P	OR93
OR5G1P	OR93HUM
OR5D3P	OR11-8b
OR5D3P	OR11-8c
OR5D3P	OR5D3
OR5D3P	OR5D4
OR5D2P	OR11-7a
OR5D2P	OR18-17
OR5D2P	OR18-42
OR5D2P	OR18-43
OR5D2P	OR18-44
OR5D2P	OR18-79
OR5D2P	OR5D10P
OR5D2P	OR5D11
OR5D2P	OR5D11P
OR5D2P	OR5D12
OR5D2P	OR5D12P
OR5D2P	OR5D1P
OR5D2P	OR5D5P
OR5D2P	OR5D6P
OR5D2P	OR5D7P
OR5D2P	OR5D8P
OR5D2P	OR5D9P
OR5D2P	OR8-125
OR5D2P	OR8-127
OR5D2P	OR912-47
OR5D2P	OR912-91
OR5D2P	OR912-94
OR5D2P	R5D9P
OR4A1P	OR11-30
OR4A1P	OR4A20P
TNFSF11	CD254
TNFSF11	ODF
TNFSF11	OPGL
TNFSF11	OPTB2
TNFSF11	RANKL
TNFSF11	TNLG6B
TNFSF11	TRANCE
TNFSF11	hRANKL2
TNFSF11	sOdf
RGS20	RGSZ1
RGS20	ZGAP1
RGS20	g(z)GAP
RGS20	gz-GAP
NOP14	C4orf9
NOP14	NOL14
NOP14	RES4-25
NOP14	RES425
NOP14	UTP2
FAM193A	C4orf8
FAM193A	RES4-22
SLC25A12	AGC1
SLC25A12	ARALAR
SLC25A12	EIEE39
PLA2G4C	CPLA2-gamma
RUVBL1	ECP-54
RUVBL1	ECP54
RUVBL1	INO80H
RUVBL1	NMP 238
RUVBL1	NMP238
RUVBL1	PONTIN
RUVBL1	Pontin52
RUVBL1	RVB1
RUVBL1	TIH1
RUVBL1	TIP49
RUVBL1	TIP49A
RDH16	RODH-4
RDH16	SDR9C8
RDH16	hRDH-E
KLF7	UKLF
PLPP1	LLP1a
PLPP1	LPP1
PLPP1	PAP-2a
PLPP1	PAP2
PLPP1	PPAP2A
PLPP2	LPP2
PLPP2	PAP-2c
PLPP2	PAP2-g
PLPP2	PPAP2C
PLPP3	Dri42
PLPP3	LPP3
PLPP3	PAP2B
PLPP3	PPAP2B
PLPP3	VCIP
STC2	STC-2
STC2	STCRP
USO1	P115
USO1	TAP
USO1	VDP
CADPS	CADPS1
CADPS	CAPS
CADPS	CAPS1
CADPS	UNC-31
NPFF	FMRFAL
CDK13	CDC2L
CDK13	CDC2L5
CDK13	CHDFIDD
CDK13	CHED
CDK13	hCDK13
PDE8B	ADSD
PDE8B	PPNAD3
ASMTL	ASMTLX
ASMTL	ASMTLY
ASMTL	ASTML
PSMG1	C21LRP
PSMG1	DSCR2
PSMG1	LRPC21
PSMG1	PAC-1
PSMG1	PAC1
RFXANK	ANKRA1
RFXANK	BLS
RFXANK	F14150_1
RFXANK	RFX-B
TP63	AIS
TP63	B(p51A)
TP63	B(p51B)
TP63	EEC3
TP63	KET
TP63	LMS
TP63	NBP
TP63	OFC8
TP63	RHS
TP63	SHFM4
TP63	TP53CP
TP63	TP53L
TP63	TP73L
TP63	p40
TP63	p51
TP63	p53CP
TP63	p63
TP63	p73H
TP63	p73L
JRK	JH8
JRK	jerky
HSD17B6	HSE
HSD17B6	RODH
HSD17B6	SDR9C6
SKAP1	HEL-S-81p
SKAP1	SCAP1
SKAP1	SKAP55
DNAH17	DNAHL1
DNAH17	DNEL2
DNAH17	SPGF39
UNC5C	UNC5H3
RTCA	RPC
RTCA	RTC1
RTCA	RTCD1
RNASET2	RNASE6PL
RNASET2	bA514O12.3
SSNA1	N14
SSNA1	NA-14
SSNA1	NA14
EIF4EBP3	4E-BP3
EIF4EBP3	4EBP3
OASL	OASL1
OASL	OASLd
OASL	TRIP-14
OASL	TRIP14
OASL	p59 OASL
OASL	p59-OASL
OASL	p59OASL
AOC3	HPAO
AOC3	SSAO
AOC3	VAP-1
AOC3	VAP1
PCDHGB4	CDH20
PCDHGB4	FIB2
PCDHGB4	PCDH-GAMMA-B4
DCHS1	CDH19
DCHS1	CDH25
DCHS1	CDHR6
DCHS1	FIB1
DCHS1	MVP2
DCHS1	PCDH16
DCHS1	VMLDS1
PTCH2	PTC2
AKR1C3	DD3
AKR1C3	DDX
AKR1C3	HA1753
AKR1C3	HAKRB
AKR1C3	HAKRe
AKR1C3	HSD17B5
AKR1C3	PGFS
AKR1C3	hluPGFS
KCNK5	K2p5.1
KCNK5	KCNK5b
KCNK5	TASK-2
KCNK5	TASK2
CHRD	-
ABCB11	ABC16
ABCB11	BRIC2
ABCB11	BSEP
ABCB11	PFIC-2
ABCB11	PFIC2
ABCB11	PGY4
ABCB11	SPGP
NCOA1	F-SRC-1
NCOA1	KAT13A
NCOA1	RIP160
NCOA1	SRC1
NCOA1	bHLHe42
NCOA1	bHLHe74
LAMTOR3	MAP2K1IP1
LAMTOR3	MAPBP
LAMTOR3	MAPKSP1
LAMTOR3	MP1
LAMTOR3	PRO0633
LAMTOR3	Ragulator3
NUMB	C14orf41
NUMB	S171
NUMB	c14_5527
SOCS1	CIS1
SOCS1	CISH1
SOCS1	JAB
SOCS1	SOCS-1
SOCS1	SSI-1
SOCS1	SSI1
SOCS1	TIP-3
SOCS1	TIP3
DDX3Y	DBY
PDE5A	CGB-PDE
PDE5A	CN5A
PDE5A	PDE5
DYNLL1	DLC1
DYNLL1	DLC8
DYNLL1	DNCL1
DYNLL1	DNCLC1
DYNLL1	LC8
DYNLL1	LC8a
DYNLL1	PIN
DYNLL1	hdlc1
TNKS	ARTD5
TNKS	PARP-5a
TNKS	PARP5A
TNKS	PARPL
TNKS	TIN1
TNKS	TINF1
TNKS	TNKS1
TNKS	pART5
ALDH4A1	ALDH4
ALDH4A1	P5CD
ALDH4A1	P5CDh
IRS2	IRS-2
EIF3A	EIF3
EIF3A	EIF3S10
EIF3A	P167
EIF3A	TIF32
EIF3A	eIF3-p170
EIF3A	eIF3-theta
EIF3A	p180
EIF3A	p185
EIF3B	EIF3-ETA
EIF3B	EIF3-P110
EIF3B	EIF3-P116
EIF3B	EIF3S9
EIF3B	PRT1
EIF3C	EIF3CL
EIF3C	EIF3S8
EIF3C	eIF3-p110
EIF3D	EIF3S7
EIF3D	eIF3-p66
EIF3D	eIF3-zeta
EIF3F	EIF3S5
EIF3F	MRT67
EIF3F	eIF3-p47
EIF3G	EIF3-P42
EIF3G	EIF3S4
EIF3G	eIF3-delta
EIF3G	eIF3-p44
EIF3H	EIF3S3
EIF3H	eIF3-gamma
EIF3H	eIF3-p40
EIF3I	EIF3S2
EIF3I	PRO2242
EIF3I	TRIP-1
EIF3I	TRIP1
EIF3I	eIF3-beta
EIF3I	eIF3-p36
EIF3J	EIF3S1
EIF3J	eIF3-alpha
EIF3J	eIF3-p35
SLC4A4	HNBC1
SLC4A4	KNBC
SLC4A4	NBC1
SLC4A4	NBC2
SLC4A4	NBCe1-A
SLC4A4	SLC4A5
SLC4A4	hhNMC
SLC4A4	kNBC1
SLC4A4	pNBC
EIF4G3	eIF-4G 3
EIF4G3	eIF4G 3
EIF4G3	eIF4GII
VAMP8	EDB
VAMP8	VAMP-8
VAMP4	VAMP-4
VAMP4	VAMP24
STX16	SYN16
STX11	FHL4
STX11	HLH4
STX11	HPLH4
STX10	SYN10
STX10	hsyn10
BECN1	ATG6
BECN1	VPS30
BECN1	beclin1
JMJD7-PLA2G4B	HsT16992
JMJD7-PLA2G4B	cPLA2-beta
PEA15	HMAT1
PEA15	HUMMAT1H
PEA15	MAT1
PEA15	MAT1H
PEA15	PEA-15
PEA15	PED
PEA15	PED-PEA15
PEA15	PED/PEA15
SRSF9	SFRS9
SRSF9	SRp30c
MARCO	SCARA2
MARCO	SR-A6
KRT41P	HHaA
KRT41P	KRTHAP1
KRT41P	phihHaA
KRT38	HA8
KRT38	KRTHA8
KRT38	hHa8
KRT37	HA7
KRT37	K37
KRT37	KRTHA7
KRT36	HA6
KRT36	KRTHA6
KRT36	hHa6
JRKL	HHMJG
IDDM17	-
HYAL2	LUCA2
GALNT4	GALNAC-T4
GALNT4	GALNACT4
DGAT1	ARAT
DGAT1	ARGP1
DGAT1	DGAT
DGAT1	DIAR7
CDC23	ANAPC8
CDC23	APC8
CDC23	CUT23
S1PR4	EDG6
S1PR4	LPC1
S1PR4	S1P4
S1PR4	SLP4
DNAH11	CILD7
DNAH11	DNAHBL
DNAH11	DNAHC11
DNAH11	DNHBL
DNAH11	DPL11
B4GALT4	B4Gal-T4
B4GALT4	beta4Gal-T4
B4GALT3	beta4Gal-T3
B4GALT2	B4Gal-T2
B4GALT2	B4Gal-T3
B4GALT2	beta4Gal-T2
B3GALT4	BETA3GALT4
B3GALT4	GALT2
B3GALT4	GALT4
B3GALNT1	B3GALT3
B3GALNT1	GLCT3
B3GALNT1	GLOB
B3GALNT1	Gb4Cer
B3GALNT1	P
B3GALNT1	P1
B3GALNT1	beta3Gal-T3
B3GALNT1	galT3
B3GALT2	BETA3GALT2
B3GALT2	GLCT2
B3GALT2	beta3Gal-T2
B3GALT1	beta3Gal-T1
SERPINB7	MEGSIN
SERPINB7	PPKN
SERPINB7	TP55
TNK1	-
PAGE1	AL5
PAGE1	CT16.3
PAGE1	GAGE-9
PAGE1	GAGEB1
PAGE1	PAGE-1
ABCC3	ABC31
ABCC3	EST90757
ABCC3	MLP2
ABCC3	MOAT-D
ABCC3	MRP3
ABCC3	cMOAT2
NOL4	CT125
NOL4	HRIHFB2255
NOL4	NOLP
TRADD	Hs.89862
TNFRSF25	APO-3
TNFRSF25	DDR3
TNFRSF25	DR3
TNFRSF25	GEF720
TNFRSF25	LARD
TNFRSF25	PLEKHG5
TNFRSF25	TNFRSF12
TNFRSF25	TR3
TNFRSF25	TRAMP
TNFRSF25	WSL-1
TNFRSF25	WSL-LR
MBTPS1	PCSK8
MBTPS1	S1P
MBTPS1	SEDKF
MBTPS1	SKI-1
EDF1	CFAP280
EDF1	EDF-1
EDF1	MBF1
CTSF	CATSF
CTSF	CLN13
SNX4	ATG24B
SNX3	Grd19
SNX3	MCOPS8
SNX3	SDP3
URI1	C19orf2
URI1	NNX3
URI1	PPP1R19
URI1	RMP
URI1	URI
EED	COGIS
EED	HEED
EED	WAIT1
CTNNAL1	ACRP
CTNNAL1	CLLP
CTNNAL1	alpha-CATU
ADAM19	FKSG34
ADAM19	MADDAM
ADAM19	MLTNB
GBF1	ARF1GEF
RNMT	CMT1
RNMT	CMT1c
RNMT	MET
RNMT	Met
RNMT	RG7MT1
RNMT	cm1p
RNMT	hCMT1
RNMT	hMet
RNGTT	CAP1A
RNGTT	HCE
RNGTT	HCE1
RNGTT	hCAP
GPAA1	GAA1
GPAA1	GPIBD15
GPAA1	hGAA1
MYH13	MyHC-IIL
MYH13	MyHC-eo
MYOM1	SKELEMIN
RIPK1	IMD57
RIPK1	RIP
RIPK1	RIP-1
RIPK1	RIP1
CRADD	MRT34
CRADD	RAIDD
HRK	DP5
HRK	HARAKIRI
TNFSF14	CD258
TNFSF14	HVEML
TNFSF14	LIGHT
TNFSF14	LTg
TNFSF13	APRIL
TNFSF13	CD256
TNFSF13	TALL-2
TNFSF13	TALL2
TNFSF13	TNLG7B
TNFSF13	TRDL-1
TNFSF13	UNQ383/PRO715
TNFSF13	ZTNF2
TNFSF12	APO3L
TNFSF12	DR3LG
TNFSF12	TNLG4A
TNFSF12	TWEAK
TNFSF10	APO2L
TNFSF10	Apo-2L
TNFSF10	CD253
TNFSF10	TL2
TNFSF10	TNLG6A
TNFSF10	TRAIL
TNFSF9	4-1BB-L
TNFSF9	CD137L
TNFSF9	TNLG5A
ADAM23	MDC-3
ADAM23	MDC3
ADAM21	ADAM 21
ADAM21	ADAM31
ADAM20	-
ADAM18	ADAM27
ADAM18	tMDCIII
ADAM15	MDC15
ADAM9	CORD9
ADAM9	MCMP
ADAM9	MDC9
ADAM9	Mltng
ADAM6	C14orf96
ADAM6	tMDCIV
ADAM7	ADAM 7
ADAM7	ADAM-7
ADAM7	EAPI
ADAM7	GP-83
ADAM7	GP83
ADAM1A	ADAM1
ADAM1A	ADAM1P
ADAM1A	FTNAP
ADAM1A	Ftna
ADAM1A	PH-30a
CDS2	-
PABPC4	APP-1
PABPC4	APP1
PABPC4	PABP4
PABPC4	iPABP
CD164	DFNA66
CD164	MGC-24
CD164	MGC-24v
CD164	MUC-24
CD164	endolyn
TNFRSF14	ATAR
TNFRSF14	CD270
TNFRSF14	HVEA
TNFRSF14	HVEM
TNFRSF14	LIGHTR
TNFRSF14	TR2
RAB11A	YL8
RIPK2	CARD3
RIPK2	CARDIAK
RIPK2	CCK
RIPK2	GIG30
RIPK2	RICK
RIPK2	RIP2
TNFRSF6B	DCR3
TNFRSF6B	DJ583P15.1.1
TNFRSF6B	M68
TNFRSF6B	M68E
TNFRSF6B	TR6
FADD	GIG3
FADD	MORT1
SNAP23	HsT17016
SNAP23	SNAP-23
SNAP23	SNAP23A
SNAP23	SNAP23B
NAPG	GAMMASNAP
NAPA	SNAPA
MTMR1	-
MPDZ	HYC2
MPDZ	MUPP1
SIGLEC5	CD170
SIGLEC5	CD33L2
SIGLEC5	OB-BP2
SIGLEC5	OBBP2
SIGLEC5	SIGLEC-5
RIOK3	SUDD
PSPHP1	CO9
PSPHP1	PSPHL
MYP3	-
TNFRSF18	AITR
TNFRSF18	CD357
TNFRSF18	ENERGEN
TNFRSF18	GITR
TNFRSF18	GITR-D
MATN4	-
RGS11	RS11
RGS9	PERRS
RGS9	RGS9L
DLK1	DLK
DLK1	DLK-1
DLK1	Delta1
DLK1	FA1
DLK1	PREF1
DLK1	Pref-1
DLK1	ZOG
DLK1	pG2
FBP2	-
FPGT	GFPP
TNFRSF11A	CD265
TNFRSF11A	FEO
TNFRSF11A	LOH18CR1
TNFRSF11A	ODFR
TNFRSF11A	OFE
TNFRSF11A	OPTB7
TNFRSF11A	OSTS
TNFRSF11A	PDB2
TNFRSF11A	RANK
TNFRSF11A	TRANCER
TNFRSF10D	CD264
TNFRSF10D	DCR2
TNFRSF10D	TRAIL-R4
TNFRSF10D	TRAILR4
TNFRSF10D	TRUNDD
TNFRSF10C	CD263
TNFRSF10C	DCR1
TNFRSF10C	DCR1-TNFR
TNFRSF10C	LIT
TNFRSF10C	TRAIL-R3
TNFRSF10C	TRAILR3
TNFRSF10C	TRID
TNFRSF10B	CD262
TNFRSF10B	DR5
TNFRSF10B	KILLER
TNFRSF10B	KILLER/DR5
TNFRSF10B	TRAIL-R2
TNFRSF10B	TRAILR2
TNFRSF10B	TRICK2
TNFRSF10B	TRICK2A
TNFRSF10B	TRICK2B
TNFRSF10B	TRICKB
TNFRSF10B	ZTNFR9
SCEL	-
TNFRSF10A	APO2
TNFRSF10A	CD261
TNFRSF10A	DR4
TNFRSF10A	TRAILR-1
TNFRSF10A	TRAILR1
DYRK4	-
PEX11B	PEX11-BETA
PEX11B	PEX14B
PEX11A	PEX11-ALPHA
PEX11A	PMP28
PEX11A	hsPEX11p
SUCLG2	G-SCS
SUCLG2	GBETA
SUCLG2	GTPSCS
SUCLG1	GALPHA
SUCLG1	MTDPS9
SUCLG1	SUCLA1
SUCLA2	A-BETA
SUCLA2	A-SCS
SUCLA2	LINC00444
SUCLA2	MTDPS5
SUCLA2	SCS-betaA
CREG1	CREG
TRIM24	PTC6
TRIM24	RNF82
TRIM24	TF1A
TRIM24	TIF1
TRIM24	TIF1A
TRIM24	TIF1ALPHA
TRIM24	hTIF1
SCZD8	-
IL18RAP	ACPL
IL18RAP	CD218b
IL18RAP	CDw218b
IL18RAP	IL-18R-beta
IL18RAP	IL-18RAcP
IL18RAP	IL-18Rbeta
IL18RAP	IL-1R-7
IL18RAP	IL-1R7
IL18RAP	IL-1RAcPL
IL18RAP	IL18RB
IL1RL2	IL-1Rrp2
IL1RL2	IL-36R
IL1RL2	IL1R-rp2
IL1RL2	IL1RRP2
IL18R1	CD218a
IL18R1	CDw218a
IL18R1	IL-18R-alpha
IL18R1	IL-18Ralpha
IL18R1	IL-1Rrp
IL18R1	IL18RA
IL18R1	IL18Ralpha2
IL18R1	IL1RRP
GALR2	GAL2-R
GALR2	GALNR2
GALR2	GALR-2
CCNK	CPR4
CCNK	IDDHDF
DPM1	CDGIE
DPM1	MPDS
CDKL1	KKIALRE
CDKL1	P42
BANF1	BAF
BANF1	BCRP1
BANF1	D14S1460
BANF1	NGPS
DCAF5	BCRG2
DCAF5	BCRP2
DCAF5	D14S1461E
DCAF5	WDR22
FGF18	FGF-18
FGF18	ZFGF5
DPM2	CDG1U
SAP30	-
HESX1	ANF
HESX1	CPHD5
HESX1	RPX
INPP4B	-
FGF17	FGF-13
FGF17	FGF-17
FGF17	HH20
FGF16	FGF-16
FGF16	MF4
CES2	CE-2
CES2	CES2A1
CES2	PCE-2
CES2	iCE
LIN7A	LIN-7A
LIN7A	LIN7
LIN7A	MALS-1
LIN7A	MALS1
LIN7A	TIP-33
LIN7A	VELI1
IQGAP1	HUMORFA01
IQGAP1	SAR1
IQGAP1	p195
NRP2	NP2
NRP2	NPN2
NRP2	PRO2714
NRP2	VEGF165R2
NRP1	BDCA4
NRP1	CD304
NRP1	NP1
NRP1	NRP
NRP1	VEGF165R
PTLAH	FPAH
SYNGAP1	MRD5
SYNGAP1	RASA1
SYNGAP1	RASA5
SYNGAP1	SYNGAP
CD84	LY9B
CD84	SLAMF5
CD84	hCD84
CD84	mCD84
GMPS	GATD7
TMEM11	C17orf35
TMEM11	PM1
TMEM11	PMI
SOCS2	CIS2
SOCS2	Cish2
SOCS2	SOCS-2
SOCS2	SSI-2
SOCS2	SSI2
SOCS2	STATI2
GGH	GH
CFLAR	CASH
CFLAR	CASP8AP1
CFLAR	CLARP
CFLAR	Casper
CFLAR	FLAME
CFLAR	FLAME-1
CFLAR	FLAME1
CFLAR	FLIP
CFLAR	I-FLICE
CFLAR	MRIT
CFLAR	c-FLIP
CFLAR	c-FLIPL
CFLAR	c-FLIPR
CFLAR	c-FLIPS
CFLAR	cFLIP
CCN6	LIBC
CCN6	PPAC
CCN6	PPD
CCN6	WISP-3
CCN6	WISP3
CCN5	CT58
CCN5	CTGF-L
CCN5	WISP2
CCN4	WISP1
CCN4	WISP1-OT1
CCN4	WISP1-UT1
CCN4	WISP1c
CCN4	WISP1i
CCN4	WISP1tc
HDAC3	HD3
HDAC3	KDAC3
HDAC3	RPD3
HDAC3	RPD3-2
PROM1	AC133
PROM1	CD133
PROM1	CORD12
PROM1	MCDR2
PROM1	MSTP061
PROM1	PROML1
PROM1	RP41
PROM1	STGD4
HCAR3	GPR109B
HCAR3	HCA3
HCAR3	HM74
HCAR3	PUMAG
HCAR3	Puma-g
KSR1	KSR
KSR1	RSU2
ALKBH1	ABH
ALKBH1	ABH1
ALKBH1	ALKBH
ALKBH1	alkB
ALKBH1	hABH
DLEU2	ALT1
DLEU2	BCMSUN
DLEU2	DLB2
DLEU2	LEU2
DLEU2	LINC00022
DLEU2	MIR15AHG
DLEU2	NCRNA00022
DLEU2	RFP2
DLEU2	RFP2OS
DLEU2	TRIM13OS
TSC22D1	Ptg-2
TSC22D1	TGFB1I4
TSC22D1	TSC22
KAT2B	CAF
KAT2B	P/CAF
KAT2B	PCAF
CDK5R1	CDK5P35
CDK5R1	CDK5R
CDK5R1	NCK5A
CDK5R1	p23
CDK5R1	p25
CDK5R1	p35
CDK5R1	p35nck5a
AKAP4	AKAP 82
AKAP4	AKAP-4
AKAP4	AKAP82
AKAP4	CT99
AKAP4	FSC1
AKAP4	HI
AKAP4	PRKA4
AKAP4	hAKAP82
AKAP4	p82
ASAP2	AMAP2
ASAP2	CENTB3
ASAP2	DDEF2
ASAP2	PAG3
ASAP2	PAP
ASAP2	Pap-alpha
ASAP2	SHAG1
ALDH1A2	RALDH(II)
ALDH1A2	RALDH2
ALDH1A2	RALDH2-T
NR1I2	BXR
NR1I2	ONR1
NR1I2	PAR
NR1I2	PAR1
NR1I2	PAR2
NR1I2	PARq
NR1I2	PRR
NR1I2	PXR
NR1I2	SAR
NR1I2	SXR
FCGBP	FC(GAMMA)BP
PROZ	PZ
STK19	D6S60
STK19	D6S60E
STK19	G11
STK19	HLA-RP1
STK19	RP1
LDB1	CLIM-2
LDB1	CLIM2
LDB1	LDB-1
LDB1	NLI
APLN	APEL
APLN	XNPEP2
PER3	FASPS3
PER3	GIG13
PER2	FASPS
PER2	FASPS1
SYNJ1	EIEE53
SYNJ1	INPP5G
SYNJ1	PARK20
ST3GAL5	SATI
ST3GAL5	SIAT9
ST3GAL5	SIATGM3S
ST3GAL5	SPDRS
ST3GAL5	ST3Gal V
ST3GAL5	ST3GalV
IER3	DIF-2
IER3	DIF2
IER3	GLY96
IER3	IEX-1
IER3	IEX-1L
IER3	IEX1
IER3	PRG1
SYNJ2	INPP5H
CDC123	C10orf7
CDC123	D123
ARHGEF7	BETA-PIX
ARHGEF7	COOL-1
ARHGEF7	COOL1
ARHGEF7	Nbla10314
ARHGEF7	P50
ARHGEF7	P50BP
ARHGEF7	P85
ARHGEF7	P85COOL1
ARHGEF7	P85SPR
ARHGEF7	PAK3
ARHGEF7	PIXB
VNN2	FOAP-4
VNN2	GPI-80
VNN1	HDLCQ8
VNN1	Tiff66
SPHK1	SPHK
SQSTM1	A170
SQSTM1	DMRV
SQSTM1	FTDALS3
SQSTM1	NADGP
SQSTM1	OSIL
SQSTM1	PDB3
SQSTM1	ZIP3
SQSTM1	p60
SQSTM1	p62
SQSTM1	p62B
SGPL1	NPHS14
SGPL1	S1PL
SGPL1	SPL
FUBP1	FBP
FUBP1	FUBP
FUBP1	hDH V
CDC16	ANAPC6
CDC16	APC6
CDC16	CDC16Hs
CDC16	CUT9
ZPR1	ZNF259
NAE1	A-116A10.1
NAE1	APPBP1
NAE1	HPP1
NAE1	ula-1
SLC5A6	SMVT
DDX18	Has1
DDX18	MrDb
TAX1BP1	CALCOCO3
TAX1BP1	T6BP
TAX1BP1	TXBP151
MCM3AP	GANP
MCM3AP	MAP80
MCM3AP	PNRIID
MCM3AP	SAC3
EIF2B4	EIF-2B
EIF2B4	EIF2B
EIF2B4	EIF2Bdelta
EIF2B3	EIF-2B
EIF2B3	EIF2Bgamma
EIF2B2	EIF-2Bbeta
EIF2B2	EIF2B
EIF2B5	CACH
EIF2B5	CLE
EIF2B5	EIF-2B
EIF2B5	EIF2Bepsilon
EIF2B5	LVWM
EIF2S2	EIF2
EIF2S2	EIF2B
EIF2S2	EIF2beta
EIF2S2	PPP1R67
EIF2S2	eIF-2-beta
CPNE3	CPN3
CPNE3	PRO1071
BUD31	Cwc14
BUD31	EDG-2
BUD31	EDG2
BUD31	G10
BUD31	YCR063W
BUD31	fSAP17
MTMR3	FYVE-DSP1
MTMR3	ZFYVE10
MTMR2	CMT4B
MTMR2	CMT4B1
PRPF4B	PR4H
PRPF4B	PRP4
PRPF4B	PRP4H
PRPF4B	PRP4K
PRPF4B	dJ1013A10.1
CCNA1	CT146
CPNE1	COPN1
CPNE1	CPN1
AP1S2	DC22
AP1S2	MRX59
AP1S2	MRXS21
AP1S2	MRXS5
AP1S2	MRXSF
AP1S2	PGS
AP1S2	SIGMA1B
AP1G2	G2AD
AP1M1	AP47
AP1M1	CLAPM2
AP1M1	CLTNM
AP1M1	MU-1A
GYG2	GN-2
GYG2	GN2
ENDOU	P11
ENDOU	PP11
ENDOU	PRSS26
SGCE	DYT11
SGCE	ESG
SGCE	epsilon-SG
CACNA1I	Cav3.3
CACNA1I	ca(v)3.3
CACNA1H	CACNA1HB
CACNA1H	Cav3.2
CACNA1H	ECA6
CACNA1H	EIG6
CACNA1H	HALD4
CACNA1G	Ca(V)T.1
CACNA1G	Cav3.1
CACNA1G	NBR13
CACNA1G	SCA42
CACNA1G	SCA42ND
TIMELESS	TIM
TIMELESS	TIM1
TIMELESS	hTIM
BCL10	CARMEN
BCL10	CIPER
BCL10	CLAP
BCL10	IMD37
BCL10	c-E10
BCL10	mE10
HERC3	-
HERC2P1	D15F37S2
HERC2P6	-
HERC2	D15F37S1
HERC2	MRT38
HERC2	SHEP1
HERC2	jdf2
HERC2	p528
HERC1	MDFPMR
HERC1	p532
HERC1	p619
SNURF	-
BSN	ZNF231
FOXH1	FAST-1
FOXH1	FAST1
PHOX2B	CCHS
PHOX2B	NBLST2
PHOX2B	NBPhox
PHOX2B	PMX2B
MBD4	MED1
MBD2	DMTase
MBD2	NY-CO-41
RTL8C	CXX1
RTL8C	FAM127A
RTL8C	MAR8C
RTL8C	MART8C
RTL8C	Mar8
RTL8C	Mart8
RTL8C	SIRH5
RAB29	RAB7L
RAB29	RAB7L1
SKAP2	PRAP
SKAP2	RA70
SKAP2	SAPS
SKAP2	SCAP2
SKAP2	SKAP-HOM
SKAP2	SKAP55R
WASF1	NEDALVS
WASF1	SCAR1
WASF1	WAVE
WASF1	WAVE1
BAIAP3	BAP3
FUBP3	FBP3
TOP3B	TOP3B1
CDK5R2	NCK5AI
CDK5R2	P39
CDK5R2	p39nck5ai
KYNU	KYNUU
KYNU	VCRL2
AP3D1	ADTD
AP3D1	HPS10
AP3D1	hBLVR
SNORD73A	RNU73
SNORD73A	RNU73A
SNORD73A	U73
SNORD73A	U73a
BTRC	BETA-TRCP
BTRC	FBW1A
BTRC	FBXW1
BTRC	FBXW1A
BTRC	FWD1
BTRC	bTrCP
BTRC	bTrCP1
BTRC	betaTrCP
H3C7	H3/i
H3C7	H3C1
H3C7	H3C10
H3C7	H3C11
H3C7	H3C12
H3C7	H3C2
H3C7	H3C3
H3C7	H3C4
H3C7	H3C6
H3C7	H3C8
H3C7	H3FI
H3C7	HIST1H3F
H2AC11	H2A.1b
H2AC11	H2A/p
H2AC11	H2AC13
H2AC11	H2AC15
H2AC11	H2AC16
H2AC11	H2AC17
H2AC11	H2AFP
H2AC11	H2AG
H2AC11	HIST1H2AG
H2AC11	pH2A/f
H2BC11	H2B/r
H2BC11	H2BFR
H2BC11	H2BJ
H2BC11	HIST1H2BJ
H1-10	H1.10
H1-10	H1FX
H1-10	H1X
MGAM	MG
MGAM	MGA
CHRNA6	CHNRA6
P4HA2	MYP25
USP13	ISOT3
USP13	IsoT-3
WASL	N-WASP
WASL	NWASP
WASL	WASPB
PLOD3	LH3
RPS6KA4	MSK2
RPS6KA4	RSK-B
RPS6KA4	S6K-alpha-4
STBD1	GENEX3414
STBD1	GENX-3414
HSPB3	DHMN2C
HSPB3	HMN2C
HSPB3	HSPL27
TRPA1	ANKTM1
TRPA1	FEPS
TRPA1	FEPS1
SELENBP1	EHMTO
SELENBP1	HEL-S-134P
SELENBP1	LPSB
SELENBP1	MTO
SELENBP1	SBP56
SELENBP1	SP56
SELENBP1	hSBP
ATP6V0E1	ATP6H
ATP6V0E1	ATP6V0E
ATP6V0E1	M9.2
ATP6V0E1	Vma21
ATP6V0E1	Vma21p
PGLYRP1	PGLYRP
PGLYRP1	PGRP
PGLYRP1	PGRP-S
PGLYRP1	PGRPS
PGLYRP1	TAG7
PGLYRP1	TNFSF3L
LIMD1	-
TNFSF18	AITRL
TNFSF18	GITRL
TNFSF18	TL6
TNFSF18	TNLG2A
TNFSF18	hGITRL
NOL3	ARC
NOL3	FCM
NOL3	MYOCL1
NOL3	MYP
NOL3	NOP
NOL3	NOP30
KALRN	ARHGEF24
KALRN	CHD5
KALRN	CHDS5
KALRN	DUET
KALRN	DUO
